cliche
Caer en la cuenta
Caer en la tentación
Caer en la trampa
Caer en picado
Caer en saco roto
Caer gordo
Caer la del pulpo
Caer muy bajo
Caer por su propio peso
Caerse a pedazos
Caerse con todo el equipo
Caerse del burro
Caerse del guindo
Caerse la baba con alguien
Caerse la cara de vergüenza
Caerse la casa encima
Caerse la venda de los ojos
Caerse los palos del sombrajo
Caída libre
Caiga quien caiga
Calar a alguien
Calarse hasta los huesos
Caldearse el ambiente
Caldo de cultivo
Calentar el ambiente
Calentar el banquillo
Calentar la silla
Calentar motores
Calentarle la cabeza
Calentarse la boca
Cálida ovación
Callar como un muerto
Callar muchas bocas
Callar para siempre
Calma tensa
Calmar los mercados
Calor abrasador
Calor infernal
"Calumnia, que algo queda"
Caluroso recibimiento
Calvario judicial
Cambiar de aires
Cambiar de chaqueta
Cambiar de disco
Cambiar de rumbo
Cambiar el chip
Cambiar la narrativa
Cambiarle el agua al canario
Camino de rosas
Camino sin retorno
Campar a sus anchas
Canasta sobre la bocina
Cantar como los ángeles
Cantar de plano
Cantar el alirón
Cantar la Traviata
Cantar victoria
Cantarle las cuarenta
Cantarle los pinreles
Cantos de sirenas
Cañero
Capear el temporal
Capital humano
Cara de mala leche
Cara de pocos amigos
Cardo borriquero
Cargar con el mochuelo
Cargar con el muerto
Cargar las pilas
Cargar las tintas
Carne de meme
Carrera de fondo
Carrera de obstáculos
Carretera y manta
Carta Magna
Casarse de penalti
Castigar con la mirada
Causar estragos
Causar furor
Cavar su propia tumba
Cavarle la tumba
Caza de brujas
Cazador cazado
Cazarlas al vuelo
Cebarse con alguien
Cementerio de elefantes
Cenizo
Centro neurálgico
Ceñirse a los hechos
Cero patatero
Cerrada ovación
Cerrar a cal y canto
Cerrar con broche de oro
Cerrar el chiringuito
Cerrar el grifo
Cerrar el pico
Cerrar filas
Cerrar las puertas
Cerrar los últimos flecos
Cerrarse en banda
Cese temporal de la convivencia
Chafar a alguien
Chapado a la antigua
Chapar un lugar
Chiflarse por algo
Chinchar
Chirriar un asunto
Chocar los cinco
Choque de trenes
Chorizar
Chulearse de algo
Chupar balón
Chupar banquillo
Chupar cámara
Chupar del bote
Chupar rueda
Chuparse los dedos
Chutarse en vena
Cifra astronómica
Círculo vicioso
Círculos bien informados
Cita decisiva en las urnas
Cita ineludible
Ciudadano de a pie
Ciudadano del mundo
Clamar al cielo
Claro exponente
Clases sociales más desfavorecidas
Climatología adversa
Cobrarse vidas
Cocerse un asunto
Cocinar para un regimiento
Codearse con alguien
Coger al vuelo
Coger carrerilla
Coger con alfileres
Coger con pinzas
Coger el rábano por las hojas
Coger el relevo
Coger el toro por los cuernos
Coger el último tren
Coger fuerzas
Coger la alternativa
Coger las cosas al vuelo
Coger por banda
Coger un trancazo
Cogerlas al vuelo
Cogerle el tranquillo
Cogerse un rebote
Cojear del mismo pie
Colarle un gol por toda la escuadra
Colgar el cartel de no hay billetes
Colgar el cartel de no hay entradas
Colgar el muerto
Colgar el sambenito
Colgar las botas
Colgar los guantes
Colgar los hábitos
Colgarse medallas
Colmar todas las expectativas
"Colmillo retorcido, afilado"
Colocar a dedo
Colofón final
Columpiarse sobre un tema
Combate cuerpo a cuerpo
Combatir cuerpo a cuerpo
Come y calla
Comentar la jugada
Comer a dos carrillos
Comer como un cerdo
Comer como un descosido
Comer como una lima
Comer con los ojos
Comer el coco
Comer el tarro
Comer en el mismo plato
Comer menos que un pajarito
Comerle la oreja a alguien
Comerse a alguien
Comerse a alguien a besos
Comerse un marrón
Comicios históricos
Comienza la cuenta atrás
Como a un Cristo dos pistolas
Como agua de mayo
Como alma en pena
Como aquel que dice
Como bien has dicho
Como caído del cielo
Como Dios lo trajo al mundo
Como Dios manda
Como el que no quiere la cosa
Como era de esperar
Cómo está el patio
Cómo estamos los españoles
Como gato panza arriba
Como la copa de un pino
Como la vida misma
Como los chorros del oro
Como manda la tradición
Como muestra un botón
Como no podía ser de otro modo
Como oro en paño
Como Pedro por su casa
Como pez en el agua
Como piojos en costura
Como quien no quiere la cosa
Como quien oye llover
Como sardinas en lata
Como si tal cosa
Como tal
Como todo el mundo sabe
Como todo hijo de vecino
Como un castillo de naipes
Como un lagarto
Como un libro abierto
Como un niño con zapatos nuevos
Como un roble
Como un rodillo
Como un solo hombre
Como un toro
Como un tren
Como una cabra
Como una patena
Como una regadera
Como unas castañuelas
Como ya adelantó este diario
Cómodos plazos mensuales
Comportamiento inapropiado
Comprar a alguien
Compuesta y sin novio
Comulgar con ruedas de molino
Con cuentagotas
Con el agua al cuello
Con el rabo entre las piernas
Con esa idea en la cabeza
Con la boca abierta
Con la cruz a cuestas
Con la Iglesia hemos topado
Con la lengua fuera
Con la mirada perdida
Con la mosca detrás de la oreja
Con la música a todo trapo
Con la pierna cambiada
Con la pólvora mojada
Con la que está cayendo
Con la soga al cuello
Con los ojos cerrados
Con los pies en el suelo
Con los pies en la tierra
Con luz y taquígrafos
Con mis mejores deseos
Con muestras de profundo pesar
Con nocturnidad y alevosía
Con paños calientes
Con paso firme y decidido
Con pelos y señales
Con pies de plomo
Con su pan se lo coma
Con todo lujo de detalles
Con total normalidad
Con un palmo de narices
Con un pan bajo el brazo
Conato de incendio
Conceder un baile
Confundir la velocidad con el tocino
Congelación salarial
Congelar todos los activos
Conocer algo como la palma de su mano
Conocer el percal
Conocerle como si le hubiera parido
Consultarlo con la almohada
Contagiarse la euforia
Contar batallitas
Contar con los dedos de las manos
Contar trolas
Contar una bola
Contigo al fin del mundo
"Contigo, pan y cebolla"
Contra viento y marea
Controlar
Convertirse en mi peor pesadilla
Convidado de piedra
Copar los puestos de salida
Copar los titulares
Copiosa lluvia
Coquetear con otras ideas
Corazón de piedra
Cordón sanitario
Cornudo y apaleado
Correa de transmisión
Corren malos tiempos
Corren malos tiempos para la lírica
Correr como alma que lleva el diablo
Correr como la pólvora
Correr como pollo sin cabeza
Correr de boca en boca
Correr ríos de tinta
Correr un tupido velo
Correr una suerte muy dispar
Correrse la voz
Corriente y moliente
Cortar cabezas
Cortar el bacalao
Cortar el grifo
Cortar la respiración
Cortar las alas
Cortar las dos orejas y el rabo
Cortar por lo sano
Cortarse la coleta
Cortarse las venas
Cortina de humo
Cosa de poco
Cosas veredes
Coser y cantar
Costar cuatro perras
Costar Dios y ayuda
Costar la torta un pan
Costar un huevo
Costar un ojo de la cara
Costar un pastizal
Costar un riñón
Costar una pasta gansa
Costarle caro
Costarle Dios y ayuda
Costumbre muy arraigada
Craso error
Crear escuela
Crecer como la espuma
Crecer como setas
Crecerse ante la adversidad
Crecimiento negativo
Creer algo a pies juntillas
Creerse el ombligo del mundo
Criar malvas
Crimen pasional
Cristiana sepultura
Crónica de una… anunciada
Crucificar al alguien
Cruz y raya
Cruzar el charco
Cruzar el Rubicón
Cruzar la raya
Cruzarse los cables
Cualquier tiempo pasado fue mejor
Cualquiera lo diría
Cuando el río suena
Cuando las ranas críen pelo
Cuantiosas pérdidas
"Cuanto mejor, peor"
Cuatro ojos ven más que dos
Cubrir distancias
Cubrir el expediente
Cubrir un hueco
Cubrirse las espaldas
Cuello de cisne
Cuéntanos un poquito
Cuento chino
Cuerpo sin vida
Cuestión de horas
Cuestión de vida o muerte
"Culito veo, culito deseo"
Culo de mal asiento
Cumplir con el deber cívico
Cúmulo de desgracias
Curarse en salud
Currárselo mucho
Da lo mismo ocho que ochenta
Dantesco incendio
Daños colaterales
Dar al traste con algo
Dar bandazos
Dar buena cuenta de algo
Dar calabazas
Dar cancha
Dar candela
Dar caña
Dar carpetazo a un asunto
Dar carta blanca
Dar cartas en el asunto
Dar cera a alguien
Dar cien vueltas
Dar coba
Dar coces
Dar con la tecla
Dar con tus huesos en un sitio
Dar cosa
Dar cuerda
Dar de mano
Dar el 110 por ciento
Dar el beso de Judas
Dar el braguetazo
Dar el callo
Dar el cambiazo
Dar el cante
Dar el do de pecho
Dar el pego
Dar el pistoletazo de salida
Dar el tiro de gracia
Dar el último adiós
Dar el visto bueno
Dar en el blanco
Dar en el clavo
Dar en la diana
Dar esquinazo
Dar gato por liebre
Dar guerra
Dar igual ocho que ochenta
Dar la batalla
Dar la brasa
Dar la callada por respuesta
Dar la campanada
Dar la cara por alguien
Dar la chapa
Dar la espalda
Dar la espantada
Dar la lata
Dar la matraca
Dar la murga
Dar la nota
Dar la puntilla
Dar la tabarra
Dar la talla
Dar la vara
Dar la vuelta al marcador
Dar la vuelta al ruedo
Dar la vuelta como un calcetín
Dar largas
Dar las uvas
Dar los últimos coletazos
Dar luz verde
Dar mala espina
Dar marcha atrás
Dar más guerra que un niño chico
Dar mil vueltas a alguien
Dar palos de ciego
Dar para el pelo
Dar pasaporte
Dar patadas al diccionario
Dar pie
Dar plantón
Dar por sentado
Dar puerta
Dar qué pensar
Dar repelús
Dar rienda suelta
Dar sopas con honda
Dar tiempo al tiempo
Dar un arrechucho
Dar un baño
Dar un cheque en blanco
Dar un corte de mangas
Dar un espaldarazo
Dar un fuerte aplauso
Dar un golpe de timón
Dar un golpe sobre la mesa
Dar un paso al frente
Dar un pelotazo
Dar un quiebro
Dar un recital de goles
Dar un repaso
Dar un sablazo
Dar un soponcio
Dar un sorpasso
Dar un telele
Dar un tirón de orejas
Dar un toque de atención
Dar un ultimátum
Dar un volantazo
Dar un vuelco
Dar una cabezada
Dar una de cal y otra de arena
Dar una palmadita amistosa
Dar una puñalada trapera
Dar unas pinceladas
Dar vergüenza ajena
Dar zapatazos
Dardo envenenado
Darlas con queso
Darle a la lengua
Darle a la sin hueso
Darle bola
Darle jabón
Darle la patada
Darle la vuelta a la tortilla
Darle leña al mono que es de goma
Darle para el pelo
Darle un patatús
Darle un repaso
Darlo todo
Darse a la bebida
Darse a la fuga
Darse autobombo
Darse con un canto en los dientes
Darse de bruces con
Darse de morros con
Darse el lote
Darse el pisto
Darse por aludido
Darse por vencido
Darse un atracón
Darse un baño de masas
Darse un festín
Darse un homenaje
Datar de tiempo inmemorial
De alto voltaje
De andar por casa
"De aquellos barros, estos lodos"
De aquí a Lima
De aquí te espero
De bote en bote
De buena cepa
De buena pasta
De buenas a primeras
De cabecera
De cabo a rabo
De campeonato
De capa caída
De cara a
De cara a la galería
De cara a mañana
De carambola
De casta le viene al galgo
De chiripa
De cine
"De eso nada, monada"
De fábula
De golpe y porrazo
De gorra
De gran calado
De higos a brevas
De hombre a hombre
De hoz y coz
De juzgado de guardia
De la Ceca a la Meca
De la discordia
De la noche a la mañana
De lujo
De mal en peor
De mi cosecha
De mil amores
De mil demonios
De morros
De muerte
"De no ser trágica, la situación sería cómica"
De noche todos los gatos son pardos
De padre y muy señor mío
De Pascuas a Ramos
De pe a pa
De película
De pelo en pecho
De pena
De perdidos al río
De perfil bajo
De perilla
De perogrullo
De poca monta
De poder a poder
De propios y extraños
De pura cepa
De rabiosa actualidad
De tapadillo
De toda la vida
De todo hay en la viña del Señor
De todo tipo y condición
De tomo y lomo
De tres al cuarto
De última generación
De un tiempo a esta parte
De una vez por todas
De uñas
De uvas a peras
De vértigo
De viva voz
Deambular sin rumbo
Debatirse entre la vida y la muerte
Debut prometedor
Dechado de virtudes
Decir con la boca pequeña
Decir con recochineo
Decir con retintín
Decir cuatro cosas bien dichas
Decir de boquilla
Decir esta boca es mía
Decir las verdades del barquero
Decir paridas
Decirse las verdades a la cara
Decisión salomónica
Declarar la guerra
Declararse un incendio
Defender a capa y espada
Defender con uñas y dientes
Defensa numantina
Dejado de la mano de Dios
Dejar a la altura del betún
Dejar a los pies de los caballos
Dejar caer
Dejar colgado
Dejar como los chorros del oro
Dejar con la miel en los labios
Dejar con la palabra en la boca
Dejar el nido
Dejar el pabellón bien alto
Dejar en bragas
Dejar en la estacada
Dejar en mal lugar
Dejar huella
Dejar mucho que desear
Dejar muerto
Dejar pasar el tren
Dejar patidifuso
Dejar plantado
Dejar tirado
Dejar un cabo suelto
Dejar un regalito
Dejar un saldo de
Dejar vendido
Dejar visto para sentencia
Dejarlo todo manga por hombro
Dejarse de chorradas
Dejarse de gaitas
Dejarse de monsergas
Dejarse de rodeos
Dejarse de tonterías
Dejarse el pellejo
Dejarse la piel
Dejarse los puntos por el camino
Dejarse los tres puntos en casa
Del año catapúm
Del año de la polca
Del tamaño de un campo de fútbol
Del tamaño de una piscina olímpica
Demostrar con creces
Densa humareda
Densas columnas de humo
Dentro de lo que cabe
Depurar responsabilidades
Derecho a roce
Derrapar en un tema
Derrota sin paliativos
Desaceleración económica
Desatar las críticas
Desatarse el caos
Descalabro electoral
Descerrajar un tiro
Desconectar el fin de semana
Descongelación salarial
Desconsolada viuda
Descubrir América
Descubrir el Mediterráneo
Descubrir la pólvora
Descubrirse el pastel
Descubrirse la tostada
Desearte lo mejor
Desenlace fatal
Desenterrar el hacha de guerra
Deseo ferviente
Deshacerse en elogios hacia alguien
Deshielo entre dos países
Deshojar la margarita
Desnudar el alma
Despacharse a gusto
Despacito y buena letra
Despedirse a la francesa
Despejar a córner un asunto
Despertar inquietud
Despido fulminante
Desplome de la bolsa
Desplumar a alguien
Destapar la caja de los truenos
Destruir empleo
Devaluación competitiva de los salarios
Devolver la conexión
Devolver la pelota
Día histórico
Diálogo de besugos
Diametralmente opuesto
Dicho esto
Dicho y hecho
Dictar sentencia
Diferencia abismal
Dilatada trayectoria
Dimes y diretes
Dinamitar un acuerdo
Dinero contante y sonante
Dirigir el cotarro
Discreto segundo plano
Disfrutar como un enano
Disfrutar de lo lindo
Dispararse los precios
Disparo envenenado
Distinguir las churras de las merinas
Divide y vencerás
División de opiniones
Doble o nada
Doctores tiene la Iglesia
Dolor indescriptible
Dolor insoportable
Dominar la situación
Don de lenguas
"Donde caben dos, caben tres"
"Donde comen dos, comen tres"
Donde duermen las arañas
Donde hay patrón no manda marinero
Donde la espalda pierde su casto nombre
Donde las dan las toman
Dorar la píldora
Dormir a pierna suelta
Dormir como un ceporro
Dormir como un lirón
Dormir el sueño de los justos
Dormir la mona
Dormirse en los laureles
Dramáticos momentos
Duelo de titanes
Dulce derrota
Durar más que un martillo en manteca
Duro correctivo
Duro de mollera
Duro de pelar
"Echa el freno, Magdaleno"
Échale hilo a la cometa
Echar a perder
Echar balones fuera
Echar con cajas destempladas
Echar el cerrojo atrás
Echar el freno
Echar el resto
Echar flores
Echar humo
Echar la pota
Echar las campanas al vuelo
Echar las cuentas de la lechera
Echar leña al fuego
Echar mal de ojo
Echar margaritas a los cerdos
Echar más leña al fuego
Echar pestes
Echar por tierra
Echar raíces
Echar sapos y culebras
Echar un cable
Echar un capote
Echar un galgo
Echar un órdago
Echar un polvo
Echar un pulso
Echar un rapapolvo
Echar un vistazo
Echar una cana al aire
Echar una mano
Echarle cara
Echarle guindas al pavo
Echarle los perros
Echarle teatro
Echarse unas risas
Efectivos de la policía
Efectuar disparos
El abrazo del oso
El amor es ciego
El año de la polca
El autodenominado Estado Islámico
El canto de un duro
El canto del cisne
El capitán araña
El centro de todas las miradas
El conjunto ché
El conjunto colchonero
El conjunto merengue
El contagio de la deuda
El contagio de los mercados
El cuento de la lechera
El cuento de nunca acabar
El cuerpo me pide
El de marras
El deporte rey
El día D
El día de mañana
El día menos pensado
El dólar se desploma
El equipo cae ante el
El equipo de sus amores
El equipo pierde y se descuelga en la tabla
El esférico
El españolito de a pie
El espíritu navideño
El estadio se vino abajo
El fantasma del descenso
El fantasma del paro
El flagelo de la droga
El flamante auto
El futuro está por venir
El garbanzo negro de la familia
El Gordo ha caído íntegramente
El grifo del dinero
El hecho fue perpetrado
El huevo de Colón
El inquilino de la Casa Blanca
El inquilino de la Moncloa
El lado humano
El lirio en la mano
El lucero del alba
El lugar de los hechos
El malo de la película
El malogrado individuo
El mercurio se dispara
El mismo que viste y calza
El movimiento se demuestra andando
El mundo encima
El mundo es un pañuelo
El país vecino
El papel cuché
El papel lo aguanta todo
El partido del siglo
El pasado ya es historia
El patito feo
El pelotón de los torpes
El peso político
El protagonista
El punto álgido
El que avisa no es traidor
"El que no corre, vuela"
"El que se pica, ajos come"
El quid de la cuestión
El resultado ha deparado sorpresas
El saldo total de víctimas se eleva a
El secreto mejor guardado
El siniestro se inició
El tamaño no importa
El truco del almendruco
El último mono
El vital líquido
Elegir a dedo
Emotivas imágenes
Empanada mental
Empaparse de algo
Empapelar a alguien
Empezar con buen pie
Empezar con el pie izquierdo
Empezar de cero
Empezar de nuevo
Empezar la casa por el tejado
Empinar el codo
En ascuas
En Babia
En base a
En bolas
"En breves minutos, momentos"
En buenas manos
En busca y captura
En cuerpo y alma
En dique seco
En efecto
En el candelero
En el marco de
En el mejor de los casos
En el mejor de los sentidos
En el mejor sentido de la palabra
En el ojo del huracán
En el plano informativo
En el punto de mira
En el quinto pino
En el radar
En el último suspiro
En esta fecha tan señalada
En esta sociedad en la que nos ha tocado vivir
En este mismo instante
En estricto rigor
En horas bajas
En la boca del lobo
En la cresta de la ola
En la cuerda floja
En la flor de la vida
En la gloria
En la inopia
En la luna
En la más estricta intimidad
En la onda
En las nubes
En las últimas
En letras de molde
En los brazos de morfeo
En menos que canta un gallo
En olor de multitudes
En otro orden de cosas
En plan
En plena vía pública
En resumidas cuentas
En riguroso directo
En román paladino
En sus trece
En tiempos de Maricastaña
En toda regla
En todas partes cuecen habas
En un abrir y cerrar de ojos
En un atolladero
En un callejón sin salida
En un día como hoy
En un periquete
En un pispás
En un plis plas
En un santiamén
En un sinvivir
En un tris
En un visto y no visto
En vivo y en directo
Encaje de bolillos
Encasquetar el bulto
Encenderse todas las alarmas
Enchufar a alguien
Encontrar la horma de su zapato
Encontrar una aguja en un pajar
Enderezar el rumbo
Endeudarse hasta las cejas
Endosar el muerto
Endosarle el muerto a otro
Enemigo público número uno
Enfriar el ambiente
Enfriar los mercados
Enfundarse la elástica
Engancharse con alguien
Engañar como a un chino
Engordar para morir
Enmendarle la plana
Enrollarse como una persiana
Enseñar el cobre
Enseñar los dientes
Entonar el mea culpa
Entrado en años
Entrado en carnes
Entrar a matar
Entrar al trapo
Entrar como un elefante en una cacharrería
Entrar con buen pie
Entrar con calzador
Entrar con mal pie
Entrar de gorra
Entrar en bucle
Entrar en escena
Entrar en pánico
Entrar en vereda
Entrar en vía muerta
Entrar por el ojo derecho
Entrar por la puerta de atrás
Entrar por un oído y salir por el otro
Entre algodones
Entre bastidores
Entre ceja y ceja
Entre comillas
Entre la espada y la pared
Entre los tres palos
Entre Pinto y Valdemoro
Entre pitos y flautas
Entrenamiento a puerta cerrada
"Entro col y col, lechuga"
Envainar la espada
Envidar a pares
Epicentro de
Época de vacas flacas
Éramos pocos y parió la abuela
Eres mi ídolo
Errar es humano
Erre que erre
Error garrafal
Es lo que hay
Es una noticia en desarrollo
Esbozar una sonrisa
Escalada de violencia
Escaquearse de algo
Escarmentar en cabeza ajena
Escena dantesca
Escenas de profundo dramatismo
Escenificar algo
Esconder la cabeza debajo del ala
Escribir más que el Tostado
Escudo humano
Escupir el dinero
Escupir por el colmillo
Escurrir el bulto
Esfuerzo encomiable
Eso es música celestial
Eso no lo compro
"Eso no, lo siguiente"
Eso que lo haga Rita
Eso son palabras mayores
Espectaculares imágenes
Espectáculo dantesco
Esperar el Santo Advenimiento
Espiral de violencia
Está causando sensación
Está que arde
Está que trina
Estable dentro de su gravedad
Estar a la cuarta pregunta
Estar a la defensiva
Estar a la espera de
Estar a la que cae
Estar a verlas venir
Estar al caer
Estar alicaído
Estar aplatanado
Estar atacado de los nervios
Estar atado de pies y manos
Estar bajo control
Estar bajo mínimos
Estar cantado
Estar cascado
Estar chocheando
Estar claro como el agua
Estar cogido con alfileres
Estar cogido con pinzas
Estar colgado
Estar como una cabra
Estar como una chota
Estar como una mesa camilla
